source,table,page,group1,group2,vector,period,value
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1879,13.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1889,13.4
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1899,14.8
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1904,15.8
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1909,16.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1914,16.2
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1919,16.4
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1922,16.5
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1879,24.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1889,24.3
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1899,25.9
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1904,27.5
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1909,28.1
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1914,28.7
