source,table,page,description,series_id,period,value
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1890,72.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1890,78.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1890,95.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1891,78.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1891,81.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1891,96.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1892,84.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1892,85.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,C,DT19AS03,1892,99.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,P,DT19AS01,1893,73.0
"Paul H. Douglas, The Theory of Wages","Table 19 The Movement Of Labor, Capital, And Product In Massachusetts Manufacturing, 1890-1926, 1899=100",160,L,DT19AS02,1893,77.0
